,Item,venfis,venfin,itens,itens_dist,datas,estoque,recencia,revendeu_prox_mes,ref_prev
0,-,3,127.5,1,1,28.0,0.0,156,0,2021-09-01
1,11ER030M D=3,3,27.52,1,1,28.0,0.0,113,0,2021-09-01
2,11ER040M D=4,10,27.52,1,1,28.0,0.0,113,0,2021-09-01
3,11ER060M D=6,10,27.52,1,1,28.0,0.0,113,0,2021-09-01
4,11IRAG60 (RT11 01NA60 YBG205),10,44.82,1,1,28.0,0.0,6,0,2021-09-01
5,16ER040M ER D=4,3,33.64,1,1,28.0,0.0,146,0,2021-09-01
6,16ER040M ER D=4,1,35.15,1,1,28.0,0.0,44,0,2021-09-01
7,16ER040M ER D=4,10,27.52,1,1,28.0,0.0,113,0,2021-09-01
8,16ER060M ER D=6,3,33.64,1,1,28.0,0.0,146,0,2021-09-01
9,16ER060M ER D=6,10,27.52,1,1,28.0,0.0,113,0,2021-09-01
10,16ER080M ER D=8,10,27.52,1,1,28.0,0.0,113,1,2021-09-01
11,16ER100M ER D=10,6,27.52,1,1,28.0,0.0,113,1,2021-09-01
12,16ERAG55 HS5125,5,33.2,1,1,28.0,0.0,160,0,2021-09-01
13,16ERAG60-TC-GM3225,20,60.68,2,1,28.0,10.0,126,1,2021-09-01
14,16ERAG60-TC-GM3225,10,32.27,1,1,30.0,7.0,30,1,2021-09-01
15,16ERAG60-TC-GM3225,10,29.05,1,1,28.0,10.0,190,1,2021-09-01
16,16ERAG60-TC-GM3225,20,29084.27,2,1,58.0,42.0,215,1,2021-09-01
17,16ERAG60-TC-GM3225,20,35080.27,2,1,58.0,17.0,63,1,2021-09-01
18,16ERAG60-TC-GM3225,33,95.37,3,1,86.0,37.0,98,1,2021-09-01
19,16ERAG60-TC-GM3225,10,32.27,1,1,30.0,40.0,184,1,2021-09-01
20,16IRAG60 (RT16.01N-AG60PB YBG205),10,38544.0,1,1,28.0,10.0,1,0,2021-09-01
21,16IRAG60 AS300,10,32.27,1,1,30.0,0.0,1,0,2021-09-01
22,16IRAG60-TC-GM3225,20,61.32000000000001,2,1,30.0,30.0,134,1,2021-09-01
23,16IRAG60-TC-GM3225,10,29.7,1,1,28.0,40.0,219,1,2021-09-01
24,16IRAG60-TC-GM3225,10,33.48,1,1,0.0,0.0,57,1,2021-09-01
25,16IRAG60-TC-GM3225,10,32.27,1,1,30.0,10.0,63,1,2021-09-01
26,16IRAG60-TC-GM3225,10,47.74,1,1,28.0,20.0,114,1,2021-09-01
27,16IRAG60-TC-GM3225,10,32.27,1,1,30.0,40.0,184,1,2021-09-01
28,171.35.851 CALCO DNMG1605,1,23.4,1,1,0.0,0.0,30,0,2021-09-01
29,174.3.841 ALAVANCA,3,19.8,1,1,28.0,0.0,1,0,2021-09-01
30,174.3.847 ALAVANCA DNMG1605,1,19.5,1,1,0.0,0.0,30,0,2021-09-01
31,"193.492 PARAFUSO M4 - HN07/09, BD07, RN12 , XN15",10,17.93,1,1,45.0,0.0,188,0,2021-09-01
32,20ER120M ER D=12,1,38346.0,1,1,30.0,0.0,92,0,2021-09-01
33,20ER130M ER D=13,1,38346.0,1,1,30.0,0.0,92,0,2021-09-01
34,20SMC120M D=12,1,160.0,1,1,28.0,0.0,201,0,2021-09-01
35,22ERN60-TC-GM3225,10,18.98,1,1,28.0,0.0,183,0,2021-09-01
36,25ER030M ER D=3,2,38166.0,1,1,28.0,0.0,114,0,2021-09-01
37,25ER050M ER D=5,2,38346.0,1,1,28.0,0.0,114,0,2021-09-01
38,25ER070M ER D=7,2,38346.0,1,1,28.0,0.0,114,0,2021-09-01
39,25ER090M ER D=9,2,38346.0,1,1,28.0,0.0,114,0,2021-09-01
40,25ER110M ER D=11,2,38346.0,1,1,28.0,0.0,114,0,2021-09-01
41,25ER140M ER D=14,1,38.35,1,1,30.0,0.0,63,0,2021-09-01
42,25ER140M ER D=14,1,38.35,1,1,30.0,0.0,121,0,2021-09-01
43,25OZ040M OZ D=4,1,60.58,1,1,0.0,0.0,126,0,2021-09-01
44,32ER030M ER D=3,2,36.73,1,1,28.0,0.0,204,1,2021-09-01
45,32ER030M ER D=3,2,37.46,1,1,28.0,0.0,233,1,2021-09-01
46,32ER040M ER D=4,2,36.73,1,1,28.0,0.0,204,1,2021-09-01
47,32ER040M ER D=4,2,37.46,1,1,28.0,0.0,233,1,2021-09-01
48,32ER040M ER D=4,30,38.98,1,1,28.0,0.0,36,1,2021-09-01
49,32ER040M ER D=4,3,40.61,1,1,28.0,0.0,97,1,2021-09-01
50,32ER040M ER D=4,2,81.42,2,1,56.0,0.0,154,1,2021-09-01
51,32ER050M ER D=5,1,399412.0,1,1,28.0,0.0,135,0,2021-09-01
52,32ER050M ER D=5,2,36.73,1,1,28.0,0.0,204,0,2021-09-01
53,32ER050M ER D=5,2,37.46,1,1,28.0,0.0,233,0,2021-09-01
54,32ER050M ER D=5,30,38.98,1,1,28.0,0.0,44,0,2021-09-01
55,32ER050M ER D=5,1,40.61,1,1,28.0,0.0,97,0,2021-09-01
56,32ER060M ER D=6,1,399412.0,1,1,28.0,0.0,135,1,2021-09-01
57,32ER060M ER D=6,3,36.73,1,1,28.0,0.0,204,1,2021-09-01
58,32ER060M ER D=6,30,38.98,1,1,28.0,0.0,44,1,2021-09-01
59,32ER060M ER D=6,5,80.55,2,1,56.0,0.0,97,1,2021-09-01
60,32ER070M ER D=7,2,43.67,1,1,28.0,0.0,146,0,2021-09-01
61,32ER070M ER D=7,2,36.73,1,1,28.0,0.0,204,0,2021-09-01
62,32ER070M ER D=7,30,38.98,1,1,28.0,0.0,44,0,2021-09-01
63,32ER070M ER D=7,2,80.55,2,1,56.0,0.0,97,0,2021-09-01
64,32ER080M ER D=8,3,36.73,1,1,28.0,0.0,204,1,2021-09-01
65,32ER080M ER D=8,30,38.98,1,1,28.0,0.0,44,1,2021-09-01
66,32ER080M ER D=8,4,80.55,2,1,56.0,0.0,97,1,2021-09-01
67,32ER090M ER D=9,2,43.67,1,1,28.0,0.0,146,0,2021-09-01
68,32ER090M ER D=9,2,36.73,1,1,28.0,0.0,204,0,2021-09-01
69,32ER090M ER D=9,30,38.98,1,1,28.0,0.0,44,0,2021-09-01
70,32ER090M ER D=9,1,39.94,1,1,28.0,0.0,107,0,2021-09-01
71,32ER100M ER D=10,3,36.73,1,1,28.0,0.0,204,1,2021-09-01
72,32ER100M ER D=10,30,38.98,1,1,28.0,0.0,44,1,2021-09-01
73,32ER100M ER D=10,5,80.55,2,1,56.0,0.0,97,1,2021-09-01
74,32ER110M ER D=11,2,36.73,1,1,28.0,0.0,204,0,2021-09-01
75,32ER110M ER D=11,30,38.98,1,1,28.0,0.0,44,0,2021-09-01
76,32ER110M ER D=11,1,39.94,1,1,28.0,0.0,107,0,2021-09-01
77,32ER120M ER D=12,2,36.73,1,1,28.0,0.0,204,0,2021-09-01
78,32ER120M ER D=12,30,38.98,1,1,28.0,0.0,44,0,2021-09-01
79,32ER120M ER D=12,2,80.55,2,1,56.0,0.0,97,0,2021-09-01
80,32ER130M ER D=13,1,39.94,1,1,28.0,1.0,51,0,2021-09-01
81,32ER140M ER D=14,2,36.73,1,1,28.0,0.0,204,0,2021-09-01
82,32ER150M ER D=15,1,36.73,1,1,28.0,0.0,204,0,2021-09-01
83,32ER150M ER D=15,1,39.94,1,1,28.0,1.0,51,0,2021-09-01
84,32ER160M ER D=16,3,36.73,1,1,28.0,0.0,204,0,2021-09-01
85,32ER160M ER D=16,1,40.71,1,1,28.0,1.0,156,0,2021-09-01
86,32ER170M ER D=17,1,39.94,1,1,28.0,1.0,51,0,2021-09-01
87,32ER180M ER D=18,5,39.94,1,1,28.0,0.0,114,0,2021-09-01
88,32ER190M ER D=19,4,39.94,1,1,28.0,4.0,51,0,2021-09-01
89,32ER200M ER D=20,2,79.88,2,1,56.0,0.0,41,0,2021-09-01
90,40000400T014 ESF 4C 30° D=4X4X50X12,1,61.99,1,1,28.0,2.0,30,1,2021-09-01
91,40000400T014 ESF 4C 30° D=4X4X50X12,2,95435.0,1,1,28.0,3.0,33,1,2021-09-01
92,40010150T005.. ESF 2C 30° D=1.5X3X38X5 *,2,76.7,1,1,28.0,1.0,184,0,2021-09-01
93,40010200T006.. ESF 2C 30° D=2X3X38X6 *,2,76.72,1,1,28.0,2.0,153,0,2021-09-01
94,40010200T006.. ESF 2C 30° D=2X3X38X6 *,3,76.72,1,1,28.0,4.0,212,0,2021-09-01
95,40010400T012.. ESF 2C 30° D=4X4X50X12 *,1,61.99,1,1,28.0,0.0,30,0,2021-09-01
96,40010400T012.. ESF 2C 30° D=4X4X50X12 *,1,71.58,1,1,28.0,3.0,63,0,2021-09-01
97,40010800T020.. ESF 2C 30° D=8X8X63X20 *,1,142.15,1,1,28.0,4.0,118,0,2021-09-01
98,40020300T019 RETA 2C 30° D=3X3X63X19,2,130.0,2,1,60.0,8.0,107,0,2021-09-01
99,40020400T012 RETA 2C 30° D=4X4X50X12,2,60.0,1,1,45.0,0.0,232,0,2021-09-01
100,40020400T019 RETA 2C 30° D=4X4X63X19,1,89.27,1,1,0.0,1.0,134,0,2021-09-01
101,40020500T014 RETA 2C 30° D=5X6X50X14,1,97.8,1,1,28.0,0.0,47,0,2021-09-01
102,40021200T045 RETA 2C 30° D=12X12X100X45,1,224.95,1,1,28.0,3.0,48,0,2021-09-01
103,40021600T056 RETA 2C 30° D=16X16X110X56,1,410.0,1,1,28.0,1.0,75,0,2021-09-01
104,40040200T006.. RETA 4C 30° D=2X3X38X6 *,2,63.92,1,1,28.0,3.0,153,0,2021-09-01
105,40040200T006.. RETA 4C 30° D=2X3X38X6 *,1,73.0,1,1,0.0,0.0,75,0,2021-09-01
106,40040200T006.. RETA 4C 30° D=2X3X38X6 *,2,63.92,1,1,28.0,1.0,93,0,2021-09-01
107,40040250T006.. RETA 4C 30° D=2.5X3X38X6 *,6,69.25,1,1,28.0,2.0,198,0,2021-09-01
108,"40040300T009R050 TIALN TORO 4C D=3X3X9,5X38 R0.5",2,84.39,1,1,28.0,0.0,153,0,2021-09-01
109,40040450T014 RETA 4C 30° D=4.5X5X50X14,1,70.0,1,1,28.0,0.0,203,0,2021-09-01
110,40040600T016R100 TIALN TORO 4C D=6X6X16X50 R1.0,1,89.72,1,1,28.0,0.0,30,0,2021-09-01
111,401014014RT ESF 4C 30° D=14X14X63X20,2,130.0,1,1,28.0,5.0,1,0,2021-09-01
112,401014014RT ESF 4C 30° D=14X14X63X20,2,260.0,2,1,56.0,7.0,35,0,2021-09-01
113,40110600T028 ESF 2C 30° D=6X6X76X28,2,136.64,1,1,28.0,0.0,139,0,2021-09-01
114,40110600T028.. ESF 2C 30° D=6X6X76X28 *,1,110.0,1,1,28.0,0.0,236,0,2021-09-01
115,40120400T031 RETA 2C 30° D=4X4X75X31,1,90.0,1,1,30.0,9.0,212,0,2021-09-01
116,40120600T038 RETA 2C 30° D=6X6X100X38,1,108.5,1,1,28.0,5.0,205,0,2021-09-01
117,40120800T041 RETA 2C 30° D=8X8X100X41,1,125.0,1,1,28.0,0.0,156,0,2021-09-01
118,40121200T075 RETA 2C 30° D=12X12X150X75,1,120.0,1,1,28.0,3.0,240,0,2021-09-01
119,40140500T030R050 TIALN TORO 4C D=5X5X30X75 R0.5,6,284.35,3,1,84.0,0.0,233,0,2021-09-01
120,40140600T028R050 TIALN TORO 4C D=6X6X28X75 R0.5,3,180.0,2,1,56.0,0.0,236,0,2021-09-01
121,40240500T031 RETA 4C 30° D=5X5X100X31,1,104.35,1,1,28.0,4.0,230,1,2021-09-01
122,40ER030M ER D=3,2,57.07,1,1,28.0,2.0,9,0,2021-09-01
123,40ER030M ER D=3,4,57068.0,1,1,28.0,0.0,42,0,2021-09-01
124,40ER040M ER D=4,1,49.77,1,1,28.0,0.0,240,0,2021-09-01
125,40ER040M ER D=4,1,52.0,1,1,28.0,0.0,44,0,2021-09-01
126,40ER050M ER D=5,1,51.83,1,1,28.0,0.0,197,0,2021-09-01
127,40ER050M ER D=5,1,56.05,1,1,28.0,0.0,156,0,2021-09-01
128,40ER060M ER D=6,3,56.05,1,1,28.0,0.0,142,1,2021-09-01
129,40ER060M ER D=6,1,57.07,1,1,28.0,0.0,9,1,2021-09-01
130,40ER060M ER D=6,1,49.77,1,1,28.0,0.0,240,1,2021-09-01
131,40ER060M ER D=6,2,52.0,1,1,28.0,0.0,44,1,2021-09-01
132,40ER060M ER D=6,2,44.66,1,1,28.0,0.0,184,1,2021-09-01
133,40ER070M ER D=7,3,56.05,1,1,28.0,0.0,114,0,2021-09-01
134,40ER080M ER D=8,4,104.62,2,1,56.0,0.0,135,0,2021-09-01
135,40ER080M ER D=8,1,57.07,1,1,28.0,0.0,9,0,2021-09-01
136,40ER080M ER D=8,2,49.77,1,1,28.0,0.0,240,0,2021-09-01
137,40ER080M ER D=8,2,57068.0,1,1,28.0,0.0,42,0,2021-09-01
138,40ER080M ER D=8,3,100.71,2,1,56.0,0.0,156,0,2021-09-01
139,40ER090M ER D=9,1,56.05,1,1,28.0,0.0,156,0,2021-09-01
140,40ER100M ER D=10,7,153.12,3,1,91.0,0.0,128,0,2021-09-01
141,40ER100M ER D=10,2,57.07,1,1,28.0,0.0,9,0,2021-09-01
142,40ER100M ER D=10,4,57068.0,1,1,28.0,0.0,42,0,2021-09-01
143,40ER100M ER D=10,2,44.66,1,1,28.0,0.0,184,0,2021-09-01
144,40ER120M ER D=12,7,153.12,3,1,91.0,0.0,128,0,2021-09-01
145,40ER120M ER D=12,4,114.14,2,1,56.0,3.0,9,0,2021-09-01
146,40ER120M ER D=12,2,57068.0,1,1,28.0,0.0,42,0,2021-09-01
147,40ER120M ER D=12,2,44.66,1,1,28.0,0.0,184,0,2021-09-01
148,40ER130M ER D=13,2,57.07,1,1,28.0,0.0,9,0,2021-09-01
149,40ER140M ER D=14,2,57068.0,1,1,28.0,1.0,42,0,2021-09-01
150,40ER150M ER D=15,1,57.07,1,1,28.0,0.0,9,0,2021-09-01
151,40ER160M ER D=16,5,99.88,2,1,95.0,0.0,128,0,2021-09-01
