,Item,venfis,venfin,itens,itens_dist,datas,estoque,recencia,revendeu_prox_mes,ref_prev
0,-,3,127.5,1,1,28.0,0.0,337,0,2022-03-01
1,11ER030M D=3,3,27.52,1,1,28.0,0.0,294,0,2022-03-01
2,11ER040M D=4,10,27.52,1,1,28.0,0.0,294,0,2022-03-01
3,11ER060M D=6,10,27.52,1,1,28.0,0.0,294,0,2022-03-01
4,11ER060M D=6,5,38.35,1,1,60.0,0.0,92,0,2022-03-01
5,"11ER065M D=6,5",5,38.35,1,1,60.0,0.0,92,0,2022-03-01
6,11ER070M D=7,5,38.35,1,1,60.0,0.0,92,0,2022-03-01
7,11IRAG60 (RT11 01NA60 YBG205),10,44.82,1,1,28.0,0.0,187,0,2022-03-01
8,16ER010M ER D=1,2,57.97,1,1,0.0,0.0,138,0,2022-03-01
9,16ER020M ER D=2,4,57.97,1,1,0.0,0.0,138,0,2022-03-01
10,16ER020M ER D=2,1,57.97,1,1,28.0,0.0,1,0,2022-03-01
11,16ER030M ER D=3,8,38.35,1,1,0.0,0.0,138,1,2022-03-01
12,16ER030M ER D=3,1,38.35,1,1,28.0,0.0,1,1,2022-03-01
13,16ER040M ER D=4,3,33.64,1,1,28.0,0.0,327,1,2022-03-01
14,16ER040M ER D=4,1,35.15,1,1,28.0,0.0,225,1,2022-03-01
15,16ER040M ER D=4,10,27.52,1,1,28.0,0.0,294,1,2022-03-01
16,16ER040M ER D=4,1,38.35,1,1,28.0,0.0,1,1,2022-03-01
17,16ER050M ER D=5,4,38.35,1,1,28.0,0.0,162,0,2022-03-01
18,16ER050M ER D=5,1,38.35,1,1,28.0,0.0,1,0,2022-03-01
19,16ER060M ER D=6,3,33.64,1,1,28.0,0.0,327,1,2022-03-01
20,16ER060M ER D=6,10,27.52,1,1,28.0,0.0,294,1,2022-03-01
21,16ER060M ER D=6,1,38.35,1,1,28.0,0.0,1,1,2022-03-01
22,16ER080M ER D=8,10,27.52,1,1,28.0,0.0,294,0,2022-03-01
23,16ER080M ER D=8,2,415415.0,1,1,28.0,0.0,99,0,2022-03-01
24,16ER080M ER D=8,2,38.35,1,1,28.0,0.0,162,0,2022-03-01
25,16ER100M ER D=10,6,27.52,1,1,28.0,0.0,294,0,2022-03-01
26,16ER100M ER D=10,2,415415.0,1,1,28.0,0.0,99,0,2022-03-01
27,16ER100M ER D=10,2,38.35,1,1,28.0,0.0,162,0,2022-03-01
28,16ERAG55 HS5125,5,33.2,1,1,28.0,0.0,341,0,2022-03-01
29,16ERAG60-TC-GM3225,20,60.68,2,1,28.0,10.0,307,0,2022-03-01
30,16ERAG60-TC-GM3225,10,32.27,1,1,30.0,7.0,211,0,2022-03-01
31,16ERAG60-TC-GM3225,20,32384.27,2,1,30.0,17.0,69,0,2022-03-01
32,16ERAG60-TC-GM3225,10,29.05,1,1,28.0,10.0,371,0,2022-03-01
33,16ERAG60-TC-GM3225,20,35080.27,2,1,58.0,17.0,244,0,2022-03-01
34,16ERAG60-TC-GM3225,33,95.37,3,1,86.0,37.0,279,0,2022-03-01
35,16ERAG60-TC-GM3225,10,32.27,1,1,30.0,40.0,365,0,2022-03-01
36,16ERAG60-TC-GM3225,10,32.27,1,1,30.0,67.0,91,0,2022-03-01
37,16ERAG60-TC-GM3225,20,65.75,2,1,30.0,37.0,152,0,2022-03-01
38,16ERAG60-TC-GM3225,50,35160.52,4,1,129.0,32.0,14,0,2022-03-01
39,16ERAG60-TC-GM3225,5,36.73,1,1,28.0,42.0,53,0,2022-03-01
40,16IRAG60 (RT16.01N-AG60PB YBG205),10,38544.0,1,1,28.0,10.0,182,0,2022-03-01
41,16IRAG60 AS300,10,32.27,1,1,30.0,0.0,182,0,2022-03-01
42,16IRAG60-TC-GM3225,20,61.32000000000001,2,1,30.0,30.0,315,0,2022-03-01
43,16IRAG60-TC-GM3225,10,32352.0,1,1,0.0,17.0,85,0,2022-03-01
44,16IRAG60-TC-GM3225,10,33.48,1,1,0.0,0.0,238,0,2022-03-01
45,16IRAG60-TC-GM3225,10,32.27,1,1,30.0,10.0,244,0,2022-03-01
46,16IRAG60-TC-GM3225,10,47.74,1,1,28.0,20.0,295,0,2022-03-01
47,16IRAG60-TC-GM3225,10,32.27,1,1,30.0,40.0,365,0,2022-03-01
48,16IRAG60-TC-GM3225,10,32.27,1,1,30.0,60.0,91,0,2022-03-01
49,16IRAG60-TC-GM3225,20,65.83,2,1,28.0,30.0,153,0,2022-03-01
50,16IRAG60-TC-GM3225,10,36.73,1,1,28.0,30.0,11,0,2022-03-01
51,16IRAG60-TC-GM3225,10,36.63,1,1,30.0,40.0,29,0,2022-03-01
52,171.35.851 CALCO DNMG1605,1,23.4,1,1,0.0,0.0,211,0,2022-03-01
53,174.3.841 ALAVANCA,3,19.8,1,1,28.0,0.0,182,0,2022-03-01
54,174.3.847 ALAVANCA DNMG1605,1,19.5,1,1,0.0,0.0,211,0,2022-03-01
55,"193.492 PARAFUSO M4 - HN07/09, BD07, RN12 , XN15",10,17.93,1,1,45.0,0.0,369,0,2022-03-01
56,20ER120M ER D=12,1,38346.0,1,1,30.0,0.0,273,1,2022-03-01
57,20ER130M ER D=13,1,38346.0,1,1,30.0,0.0,273,1,2022-03-01
58,20SMC120M D=12,1,160.0,1,1,28.0,0.0,382,0,2022-03-01
59,22ERN60-TC-GM3225,10,38.6,1,1,0.0,0.0,76,0,2022-03-01
60,22ERN60-TC-GM3225,10,18.98,1,1,28.0,0.0,364,0,2022-03-01
61,25ER030M ER D=3,2,38166.0,1,1,28.0,0.0,295,0,2022-03-01
62,25ER050M ER D=5,2,38346.0,1,1,28.0,0.0,295,0,2022-03-01
63,25ER060M ER D=6,1,40.28,1,1,28.0,0.0,15,0,2022-03-01
64,25ER070M ER D=7,2,38346.0,1,1,28.0,0.0,295,0,2022-03-01
65,25ER070M ER D=7,1,40.28,1,1,28.0,0.0,15,0,2022-03-01
66,25ER080M ER D=8,1,40.28,1,1,28.0,0.0,15,0,2022-03-01
67,25ER080M ER D=8,1,35.08,1,1,28.0,0.0,41,0,2022-03-01
68,25ER090M ER D=9,2,38346.0,1,1,28.0,0.0,295,0,2022-03-01
69,25ER090M ER D=9,1,40.28,1,1,28.0,0.0,15,0,2022-03-01
70,25ER100M ER D=10,1,40284.0,1,1,28.0,0.0,134,0,2022-03-01
71,25ER110M ER D=11,2,38346.0,1,1,28.0,0.0,295,0,2022-03-01
72,25ER120M ER D=12,2,40.28,1,1,28.0,0.0,117,0,2022-03-01
73,25ER120M ER D=12,1,40.28,1,1,28.0,0.0,134,0,2022-03-01
74,25ER120M ER D=12,1,40.28,1,1,28.0,0.0,15,0,2022-03-01
75,25ER130M ER D=13,3,40.28,1,1,28.0,0.0,15,0,2022-03-01
76,25ER140M ER D=14,1,38.35,1,1,30.0,0.0,244,0,2022-03-01
77,25ER140M ER D=14,1,38.35,1,1,30.0,0.0,302,0,2022-03-01
78,25ER150M ER D=15,2,40.28,1,1,28.0,0.0,15,0,2022-03-01
79,25ER160M ER D=16,2,40.28,1,1,28.0,0.0,15,0,2022-03-01
80,25OZ040M OZ D=4,1,60.58,1,1,0.0,0.0,307,0,2022-03-01
81,32ER030M ER D=3,2,36.73,1,1,28.0,0.0,385,0,2022-03-01
82,32ER030M ER D=3,1,40.61,1,1,28.0,0.0,169,0,2022-03-01
83,32ER040M ER D=4,2,36.73,1,1,28.0,0.0,385,0,2022-03-01
84,32ER040M ER D=4,30,38.98,1,1,28.0,0.0,217,0,2022-03-01
85,32ER040M ER D=4,3,40.61,1,1,28.0,0.0,278,0,2022-03-01
86,32ER040M ER D=4,2,81.42,2,1,56.0,0.0,335,0,2022-03-01
87,32ER040M ER D=4,1,40.61,1,1,28.0,0.0,169,0,2022-03-01
88,32ER050M ER D=5,1,399412.0,1,1,28.0,0.0,316,0,2022-03-01
89,32ER050M ER D=5,2,36.73,1,1,28.0,0.0,385,0,2022-03-01
90,32ER050M ER D=5,30,38.98,1,1,28.0,0.0,225,0,2022-03-01
91,32ER050M ER D=5,1,40.61,1,1,28.0,0.0,278,0,2022-03-01
92,32ER060M ER D=6,1,399412.0,1,1,28.0,0.0,316,0,2022-03-01
93,32ER060M ER D=6,3,36.73,1,1,28.0,0.0,385,0,2022-03-01
94,32ER060M ER D=6,30,38.98,1,1,28.0,0.0,225,0,2022-03-01
95,32ER060M ER D=6,5,80.55,2,1,56.0,0.0,278,0,2022-03-01
96,32ER060M ER D=6,3,89.34,2,1,60.0,0.0,169,0,2022-03-01
97,32ER060M ER D=6,1,42.23,1,1,28.0,0.0,36,0,2022-03-01
98,32ER070M ER D=7,2,43.67,1,1,28.0,0.0,327,0,2022-03-01
