Fornecedor;Cidade;Codigo;Item;Prod_Novos;Tipo;SubTipo;QtdEntrada;ValorEntrada;ValorEntradaEstoque;ValorLista;NFEntrada;CFOP;DataEntrada;ICMS;IPI;TipoNota
KENNAMETAL;INDAIATUBA;5826028;40040500T013 RETA 4C 30° D=5X5X50X13;;FRESA DE TOPO;FRESAMENTO;2;34,84;41;150,06;652327;5.102*;25/07/2019;;8;0
KENNAMETAL;INDAIATUBA;5366701;VTSPO6521 WP49EG M8 ISO2 (6H) 3F DIN371 B FURO PASSANTE;;MACHO;ROSQUEAMENTO;1;34,93;46,39;169,79;652327;5.102*;25/07/2019;;8;0
KENNAMETAL;INDAIATUBA;5826028;40040500T013 RETA 4C 30° D=5X5X50X13;;FRESA DE TOPO;FRESAMENTO;2;34,84;41;150,06;652327;5.102*;25/07/2019;;8;0
GMF;DIADEMA;A1256.0X250;BROCA 6,00MM DIN 1869/2 E.LONGA 250MM;;BROCA;FURAÇÃO;3;29,11;152,14;468,59;484;5,405;14/03/2018;;8;0
GMF;DIADEMA;5576;"MACHO NPT 1/4"" 108A";;MACHO;FURAÇÃO;1;69,5;83,62;257,54;484;5,405;14/03/2018;;8;0
GMF;DIADEMA;3101 - 311120;BROCA 11,20MM DIN 338N HSS;;BRAÇO;FURAÇÃO;2;24,75;24,75;75,25;484;5,405;14/03/2018;;0;0
GMF;DIADEMA;3101 - 311260;BROCA 12,60MM DIN 338N HSS;;BROCA;FURAÇÃO;2;30,24;30,24;90,72;484;5,405;14/03/2018;;8;0
GMF;DIADEMA;3101 - 310600;BROCA 6,00MM DIN 338N HSS;;BROCA;FURAÇÃO;1;2,15;6,17;19;484;5,405;14/03/2018;;8;0
GMF;DIADEMA;3101 - 310780;BROCA 7,80MM DIN 338N HSS;;BROCA;FURAÇÃO;2;10,15;10,7;32,95;484;5,405;14/03/2018;;8;0
THURMER;CAXIAS DO SUL;3101 - 310430;BROCA 4,30MM DIN 338N HSS;;BROCA;FURAÇÃO;2;3,16;3,79;11,67;484;5,405;14/03/2018;;8;0
GMF;DIADEMA;385748;MACHO NPT 3/8 108A;;MACHO;FURAÇÃO;1;90;90;291,81;506;5,405;15/06/2018;;8;0
GMF;DIADEMA;5576;"MACHO NPT 1/4"" 108A";;MACHO;FURAÇÃO;2;69,5;83,62;257,54;753;5,102;04/04/2018;;8;0
GMF;DIADEMA;5564;"MACHO NPT 1/8"" 108A";;MACHO;ROSQUEAMENTO;1;60;60,86;187,44;476;5,405;05/11/2018;;8;0
KENNAMETAL;INDAIATUBA;073-00030;TM2SC16W14-33-5L;;SUPORTE;TORNEAMENTO;1;404;404;1.279.476;3051;6,102;14/03/2018;;0;0
GMF;DIADEMA;6101 - 111610;MACHO M16 X 2,00MM**MANUAL C/3 PÇS;;MACHO;ROSQUEAMENTO;1;163,73;210,85;649,41;58;5.102*;26/03/2019;;8;0
BLACK TOOLS;CAXIAS DO SUL;29133;F-RANHURAMENTO FRONTAL EXT HFHR-25-70-5T32 (MM70-95);;SUPORTE;TORNEAMENTO;1;293,5;293,5;880,5;1;5.102*;10/07/2021;;0;0
SUPORTES BRASIL;SÃO CAETANO DO SUL;21300;MTJNR 2525 M16 - EXT DIR TNMG1604;;SUPORTE;TORNEAMENTO;1;147;110;330;1;5.102*;10/07/2021;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;32ER030;32ER030M ER D=3;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;26,37;26,37;81,21;100037;6,102;13/09/2021;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;32ER040;32ER040M ER D=4;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;26,37;26,37;81,21;100037;6,102;13/09/2021;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;32ER060;32ER060M ER D=6;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;2;26,37;26,37;81,21;100037;6,102;13/09/2021;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;32ER060;32ER060M ER D=6;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;26,37;26,37;81,21;100037;6,102;13/09/2021;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;32ER080;32ER080M ER D=8;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;1;26,37;26,37;81,21;100037;6,102;13/09/2021;;0;0
BASFIX/ BTFIXO;CAXIAS DO SUL;32ER080;32ER080M ER D=8;;PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;2;26,37;26,37;81,21;100037;6,102;13/09/2021;;0;0
