Cliente;Cidade;Vendedor;Codigo;Item;Tipo;SubTipo;ItensNovos;Fornecedor;QtdSaida;ValorSaida;ValorEntrada;ValorVenda;ValorIcmsST;ValorIPI;TotalSemImpostos;TotalComImpostos;NFSaida;CFOP;DataSaida;ICMS;TipProdIPI;NSaiStatus;TipoNota;QTD_DIAS_FAT;Qtd_Dias_1;Qtd_Dias_2;Qtd_Dias_3
CRIZAN;JARINU;MARCOS PAULO;338028;BROCA MD D=2.8X33X61 H2.8;BROCA;FURAÇÃO;;HEINZ TOOLS;4;35,83;14;47.432;0;0;143,32;143,32;191;5,405;11/01/2017;;8;0;1;1;28;;
USINAGEM ESTRELA;JUNDIAÍ;MARCOS PAULO;4143970;VDS201A06800 WU25PD D=6.8 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;173,64;99,57;364,43;0;0;173,64;173,64;192;5,405;11/01/2017;;8;0;1;1;28;;
USINAGEM ESTRELA;JUNDIAÍ;MARCOS PAULO;4143992;VDS201A08500 WU25PD D=8.5 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;196.632;112,76;412,7;0;0;196.632;196.632;192;5,405;11/01/2017;;8;0;1;1;28;;
USINAGEM ESTRELA;JUNDIAÍ;MARCOS PAULO;4144424;VDS201A10200 WU25PD D=10.2 3XD SEM REFRI;BROCA;FURAÇÃO;;KENNAMETAL;1;260.448;149,35;546,62;0;0;260.448;260.448;192;5,405;11/01/2017;;8;0;1;1;28;;
FERRCALD;CAMPO LIMPO PAULISTA;MARCOS PAULO;4120182;TNMX160408-L PA120;INSERTO;TORNEAMENTO;;KENNAMETAL;5;19,64;8,5;36;0;0;98,2;98,2;194;5,102;11/01/2017;;8;0;1;1;28;;
FERRCALD;CAMPO LIMPO PAULISTA;MARCOS PAULO;4173670;TNMP160404 WM25CT;INSERTO;TORNEAMENTO;;KENNAMETAL;9;26.025;17,39;63,65;0;0;234.225;234.225;194;5,102;11/01/2017;;8;0;1;1;28;;
SZ TEC;VINHEDO;MARCOS PAULO;5550906;HNPJ0704ANSNGD WP40PM;INSERTO;FRESAMENTO;;KENNAMETAL;10;58,63;28,31;103,61;0;0;586,3;586,3;195;5,102;11/01/2017;;8;0;1;1;28;;
DIVAMAQ;VINHEDO;ANDERSON FONTES;3101 - 310620;BROCA 6,20MM DIN 338 HSS;BROCA;FURAÇÃO;;GMF;1;46.854;26,03;78,09;0;0;46.854;46.854;196;5,405;11/01/2017;;8;0;1;1;28;;
MECNOPLASTY;VINHEDO;ANDERSON FONTES;680D20Z2;M680D020Z02H19L150 XDMT0903;SUPORTE;FRESAMENTO FLEX;;GCTOOLS;1;10;95;285;0;0;10;10;197;5,102;11/01/2017;;0;0;1;1;28;;
MECNOPLASTY;VINHEDO;ANDERSON FONTES;4041195;XDMT090308-HX PA120;INSERTO;FRESAMENTO;;KENNAMETAL;30;19,5;18;55,44;0;0;585;585;197;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPROD;JUNDIAÍ;MARCOS PAULO;2415793;SEKR1203-AFNMS P120;INSERTO;FRESAMENTO;;KENNAMETAL;10;28,55;22,3;81,62;0;0;285,5;285,5;198;5,102;11/01/2017;;8;0;1;1;28;;
TECNOPROD;JUNDIAÍ;MARCOS PAULO;4120195;TPKR1603-PDRMS PA120;INSERTO;FRESAMENTO FLEX;;KENNAMETAL;10;19,77;13,23;48,45;0;0;197,7;197,7;198;5,102;11/01/2017;;8;0;1;1;28;;
