,cod_original,produto,preco_entrada,disponivel,total,data
0,6568512.0,024111-000040 K10F-DIA ESF 2C 20° D=4X6X20X65X4,250.45,12.0,3005.4,2020-04-01
1,2333103.0,024111-000060 K10F-DIA ESF 2C 20° D=6X6X80X6,183.39,14.0,2567.46,2020-04-01
2,6568514.0,024111-000080 K10F-DIA ESF 2C 20° D=8X8X44X80X8,325.16,4.0,1300.64,2020-04-01
3,11ER030,11ER030M D=3,21.1,1.0,21.1,2020-04-01
4,11ER040,11ER040M D=4,21.1,1.0,21.1,2020-04-01
5,11ER070,11ER070M D=7,21.1,1.0,21.1,2020-04-01
6,2018265.0,12148001300 W CHAVE TORX T8,5.8,10.0,58.0,2020-04-01
7,2018673.0,12148067200 W,4.36,12.0,52.32,2020-04-01
8,2018194.0,12748610000 W PARA TCF,5.73,10.0,57.3,2020-04-01
9,2109974.0,12748610600 W  PARA RH12,17.39,7.0,121.73,2020-04-01
10,2109978.0,12748610800 W  PARA RH20,11.46,2.0,22.92,2020-04-01
11,5606.0,170.5.851R P/ KNUX-R,14.9,2.0,29.8,2020-04-01
12,2967620.0,17066212000 TN2525 ESF 2C 30° D=12X12X75X12,4.36,3.0,13.08,2020-04-01
13,1175225.0,193.281 PARAFUSO TCF,5.82,10.0,58.2,2020-04-01
14,3273856.0,20SMC120M D=12,124.93,1.0,124.93,2020-04-01
15,32ER110,32ER110M ER D=11,26.4,1.0,26.4,2020-04-01
16,32ER140,32ER140M ER D=14,26.4,2.0,52.8,2020-04-01
17,2018429.0,3ER15ISO TN6025,28.76,10.0,287.6,2020-04-01
18,2018246.0,3ERAG60 TN6025,26.8,9.0,241.2,2020-04-01
19,4081556.0,3IRAG60K TN6025,13.5,18.0,243.0,2020-04-01
20,5825557.0,40000400T014 ESF 4C 30° D=4X4X50X12,47.41,6.0,284.46,2020-04-01
21,5880426.0,40010150T005.. ESF 2C 30° D=1.5X3X38X5 S/ COB,31.76,8.0,254.08,2020-04-01
22,5880427.0,40010200T006.. ESF 2C 30° D=2X3X38X6 S/ COB,31.76,8.0,254.08,2020-04-01
23,5880430.0,40010400T012.. ESF 2C 30° D=4X4X50X12 S/ COB,39.51,4.0,158.04,2020-04-01
24,5880438.0,40010800T020.. ESF 2C 30° D=8X8X63X20 S/ COB,51.86,7.0,363.02,2020-04-01
25,5880441.0,40011000T022.. ESF 2C 30° D=10X10X76X22 S/ COB,70.34,5.0,351.7,2020-04-01
26,5880444.0,40011200T025.. ESF 2C 30° D=12X12X76X25 S/ COB,89.68,10.0,896.8,2020-04-01
27,1655150.0,400116006RT ESF 2C 30° D=16X16X89X32,215.66,7.0,1509.62,2020-04-01
28,5880411.0,40011600T032 ESF 2C 30° D=16X16X89X32,301.47,5.0,1507.35,2020-04-01
29,5880448.0,40011600T032.. ESF 2C 30° D=16X16X89X32 S/ COB,251.23,5.0,1256.15,2020-04-01
30,5873485.0,40020150T004 RETA 2C 30° D=1.5X3X38X4,31.76,1.0,31.76,2020-04-01
31,5873490.0,40020300T019 RETA 2C 30° D=3X3X63X19,36.0,10.0,360.0,2020-04-01
32,5873493.0,40020400T012 RETA 2C 30° D=4X4X50X12,39.51,2.0,79.02,2020-04-01
33,5873494.0,40020400T019 RETA 2C 30° D=4X4X63X19,36.96,3.0,110.88,2020-04-01
34,5873498.0,40020500T014 RETA 2C 30° D=5X6X50X14,40.49,1.0,40.49,2020-04-01
35,5873499.0,40020500T020 RETA 2C 30° D=5X5X20X63,45.32,3.0,135.96,2020-04-01
36,5873507.0,40020800T028 RETA 2C 30° D=8X8X28X76,53.46,2.0,106.92,2020-04-01
